conversation_id_str,created_at,favorite_count,id_str,sentiment,full_text,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1,80E+23",Sat Jun 01 07:39:20 +0000 2024,0,"1,80E+23",negative,@mas_veel @OfficialAntam @KemenBUMN @erickthohir @jokowi @prabowo Bhahahaha semua keboborokan dinegara ini adalah tanggungjawab kepala pemerintahan/kepala negara yg diberi mandat oleh rakyat bukan malah dipuja puji.Pempimpin yg tau malu sharusnya mundur bahkan klo bisa bunuhdiri krn ga becus ngurus negara.!! Dasar otak kosong mmg diluar nurul.,,mas_veel,in,,0,0,0,https://x.com/abiebakier9628/status/1796808736553709768,"1,73E+21",abiebakier9628
"1,80E+23",Sat Jun 01 07:37:10 +0000 2024,0,"1,80E+23",positive,@BabehAldoAje135 Ku cinta netizen +62. Aku bangga dg usaha kalian.. ga kaya warga korea.suka bully idol yg ga bersalah sampe bunuh diri kita saling support.. warga +62,,BabehAldoAje135,in,,0,0,0,https://x.com/neneng_saromi/status/1796808190086234500,"1,43E+23",neneng_saromi
"1,80E+23",Sat Jun 01 07:37:03 +0000 2024,0,"1,80E+23",negative,@sicfallacy Spesis penjilat camni elok bunuh je. Takleh fikir untuk diri sendiri. Takpun buat hamba. Mana reti lawan untuk kepentingan sendiri.,,sicfallacy,in,ザワールド,0,0,0,https://x.com/FuhHusain/status/1796808161971880418,"1,10E+23",FuhHusain
"1,80E+23",Sat Jun 01 07:35:28 +0000 2024,0,"1,80E+23",neutral,sedang diantara dua pilihan membunuh atau bunuh diri.,,,in,,0,0,0,https://x.com/ikasewe/status/1796807765148774475,"1,19E+23",ikasewe
"1,80E+22",Sat Jun 01 07:30:04 +0000 2024,0,"1,80E+23",positive,@tanyakanrl Ga pernah ada yg tau pasti kecuali di cek forensik ada feses keluar ga siapa tau dia ini bunuh diri tapi membuat clue seakan² dibunuh agar terciptalah kasus yg tak terpecahkan karena selama ini dia terobsesi jadi legenda,,tanyakanrl,in,,0,0,0,https://x.com/WidiadnyanaTias/status/1796806402742399105,1674973398,WidiadnyanaTias
"1,80E+22",Sat Jun 01 07:23:58 +0000 2024,2,"1,80E+22",negative,Ga usah ngajarin aku sabar menghadapi perempuan mantanku puluhan kali ngancam bunuh diri tapi nyatanya sampe sekarang ga mati-mati.,,,in,MUSYAHADAH,0,1,0,https://x.com/godblessfattah/status/1796804869246095854,"1,27E+23",godblessfattah
"1,80E+22",Sat Jun 01 07:11:08 +0000 2024,0,"1,80E+22",negative,pernah kepikiran what if waktu itu heidie beneran bunuh harris. kayak... harris yang menyerah karena udah capek dan muak ba Edi berkali kali meyakinkan diri sendiri kalo gak salah udah bunuh harris tapi edi juga merasa kehilangan karena gak #ranask https://t.co/2bQyWifLcA,,,in,RPS 🔞,0,0,0,https://x.com/ilujionss/status/1796801640118600107,"1,09E+23",ilujionss
"1,80E+22",Sat Jun 01 07:07:07 +0000 2024,0,"1,80E+22",positive,@hi_santoso ojo bunuh diri him,,hi_santoso,in,"Boyolali, Indonesia",0,1,0,https://x.com/Rosidba/status/1796800627303231552,3307473558,Rosidba
"1,80E+22",Sat Jun 01 06:53:18 +0000 2024,0,"1,80E+22",negative,ga make sense bgt kalo bunuh diri sedangkan katanya dia lagi konsumsi sabu otomatis ngefly tutup toren juga ga bisa ditutup dari dalem ga sih? sedangkan itu nutup nya rapet bgt masa iya bunuh diri,,,in,ot 7,0,0,0,https://x.com/soheeleecy/status/1796797149616935356,"1,69E+23",soheeleecy
"1,80E+23",Sat Jun 01 06:44:44 +0000 2024,0,"1,80E+23",negative,@kompascom Mau bunuh diri....keluarganya saja makan masih susah,,kompascom,in,sekarandi pondok kelapa jakti,0,0,0,https://x.com/jakartaaki/status/1796794994860380662,3285448922,jakartaaki
"1,80E+23",Sat Jun 01 06:41:38 +0000 2024,0,"1,80E+23",positive,Ambulans yang selamatkan orang bunuh diri,,,in,Land of gods,0,0,0,https://x.com/ashir__/status/1796794216133324822,1010833644,ashir__
"1,80E+23",Sat Jun 01 06:37:53 +0000 2024,0,"1,80E+23",neutral,@folksVyn Salah sasaran. Makanya Vigilante-nya bunuh diri.,,folksVyn,in,I: zaso_,0,1,0,https://x.com/folksTighnari/status/1796793273107022293,2918126302,folksTighnari
"1,80E+23",Sat Jun 01 06:33:14 +0000 2024,0,"1,80E+23",negative,#Part3 Jika salah apakah tidak bunuh diri bagi lembaga yg terhormat https://t.co/61DhLYN06l,https://pbs.twimg.com/ext_tw_video_thumb/1796792000286769153/pu/img/Ud8UgZyIwBa-gnKA.jpg,HeNdiBur,in,Indonesia,0,0,0,https://x.com/HeNdiBur/status/1796792101499531415,113604753,HeNdiBur
"1,80E+23",Sat Jun 01 06:20:13 +0000 2024,0,"1,80E+23",negative,Pantes banyak yang bunuh diri.,,,in,Jakarta Capital Region,0,0,0,https://x.com/ursatisfication/status/1796788827950088233,"1,77E+23",ursatisfication
"1,80E+23",Sat Jun 01 06:18:43 +0000 2024,0,"1,80E+23",negative,@Ashmodea Orang bunuh diri akan berfikir simpel untuk mengakhiri hidupnya. Jarak tali cukup dekat dengan tempat tidur tidak perlu menggunakan kursi.,,sonofabytes,in,BDO,0,1,0,https://x.com/sonofabytes/status/1796788448914968685,1075804392,sonofabytes
"1,80E+22",Sat Jun 01 06:14:41 +0000 2024,0,"1,80E+23",negative,@tanyakanrl Klo d konoha itu bunuh diri...aparat senang kasus udah kelar ga nambah2in kerjaan...,,tanyakanrl,in,Di luar nalarmu,0,0,0,https://x.com/w_juzz/status/1796787432219943208,"1,02E+22",w_juzz
"1,80E+23",Sat Jun 01 06:03:34 +0000 2024,0,"1,80E+23",negative,@jokowi Ada berita di bali seorang kakak mengajak adiknya bunuh diri dgn cara lompat dari jembatan karena hidup susah akibat ditinggal mati kedua orangtuanya..sedih ya.. sementara presiden kita sibuk ngakalin aturan spy anak2nya bisa ikut berkuasa..menyedihkan nasib bangsa ini,,jokowi,in,,0,0,0,https://x.com/kibran_kangpari/status/1796784637957783661,"1,70E+23",kibran_kangpari
"1,80E+23",Sat Jun 01 06:02:04 +0000 2024,0,"1,80E+23",neutral,@arielyonatan @fridaphenia Kursi yang seolah-olah dibuat 'pijakan' arah jatuhnya tidak konsisten dengan kalau bunuh diri.,,arielyonatan,in,,0,1,0,https://x.com/doelkamdi_46/status/1796784256846545396,1.27E+18,doelkamdi_46
"1,80E+23",Sat Jun 01 06:01:48 +0000 2024,1,"1,80E+23",positive,Damkar Selamatkan Orang yang Diduga Hendak Bunuh Diri di Apartemen Kota Bandung https://t.co/5Cf8b8zdYY,,,in,"Bandung, West Java, Indonesia",0,1,0,https://x.com/PRFMnews/status/1796784191834906830,150589950,PRFMnews
"1,80E+22",Sat Jun 01 05:59:54 +0000 2024,0,"1,80E+23",neutral,@tanyakanrl Murder mana ada orang pincang bunuh diri otodidak,,tanyakanrl,in,AlamBawahSadar,0,0,0,https://x.com/Agan_sam/status/1796783712727949636,501604797,Agan_sam
"1,80E+23",Sat Jun 01 05:56:45 +0000 2024,0,"1,80E+23",negative,for u si mudah depresi si paling merasa lonely si pengen bunuh diri. MENTAL SAMPAHH !! ayo boy/gurl dont dissapoint ur mom blok ! (ojok ngecewakno emesmu blok goblok),,,in,,0,0,0,https://x.com/mgvrooo3x/status/1796782921468317708,"1,77E+23",mgvrooo3x
"1,80E+23",Sat Jun 01 05:53:04 +0000 2024,2,"1,80E+23",positive,@Dahnilanzar Pancasila itu ada gak sih??? saya curiga pancasila tidak ada. Pancasila digunakan utk basa basi saja. Kalau pancasila itu ada kejadian bunuh diri menusuk dan merobek perutnya di NTT karena kelaparan tidak akan pernah terjadi.,,Dahnilanzar,in,"Moscow, Russia",0,0,0,https://x.com/iniandikahm88/status/1796781994506178946,"1,52E+23",iniandikahm88
"1,80E+23",Sat Jun 01 05:48:54 +0000 2024,0,"1,80E+23",positive,Dalam islam Orang bunuh diri merupakan dosa yg sangat besar tapi masih bisa diampuni oleh Allah SWT. https://t.co/eOKleclgrU,https://pbs.twimg.com/ext_tw_video_thumb/1796780884462641152/pu/img/1aXVGIAmKtriiEbZ.jpg,,in,"Lamongan, Indonesia",0,0,0,https://x.com/arifsinggih/status/1796780944273363397,306062388,arifsinggih
"1,80E+23",Sat Jun 01 05:30:35 +0000 2024,0,"1,80E+23",negative,dulu mengancam bunuh diri kalau hubungan diakhiri sekarang masih idup sama anak dan istri/suami.,,,in,Kutub Utara,0,0,0,https://x.com/Pinguin86172790/status/1796776336327061684,"1,47E+23",Pinguin86172790
"1,80E+23",Sat Jun 01 05:29:24 +0000 2024,1,"1,80E+23",negative,@neohistoria_id Tapi tidak kuat melawan dunia ini maka dia bunuh diri kamu kapan?,,neohistoria_id,in,pain.,0,0,0,https://x.com/philleshy/status/1796776039483625812,"8,40E+22",philleshy
"1,80E+23",Sat Jun 01 05:25:49 +0000 2024,0,"1,80E+23",neutral,@mangkokmarugame Siape anjir yg bunuh diri,,mangkokmarugame,in,Depok,0,0,0,https://x.com/shawnsheepp/status/1796775135908970616,"9,89E+22",shawnsheepp
"1,80E+23",Sat Jun 01 05:25:12 +0000 2024,0,"1,80E+23",negative,@kikinjai @katakepinn hahaha bunuh diri pin kalo udah pening,,kikinjai,in,Indonesia,0,1,0,https://x.com/mrwordswide/status/1796774982518972731,229034532,mrwordswide
"1,80E+23",Sat Jun 01 05:15:38 +0000 2024,0,"1,80E+23",positive,@jwonwo0_ plss masih ketawa gara² kamu mikir cicak bunuh diri,,jwonwo0_,in,caratland!,0,1,0,https://x.com/voyezodeous/status/1796772572371271869,"1,60E+23",voyezodeous
"1,80E+23",Sat Jun 01 05:06:42 +0000 2024,0,"1,80E+23",negative,Cara bunuh diri yang klasik adalah minum ini semua seharian penuh sampai habis.,,,in,TwiceVelvet,0,0,0,https://x.com/re_Sagha/status/1796770323213509030,"8,55E+22",re_Sagha
"1,80E+23",Sat Jun 01 05:04:47 +0000 2024,1,"1,80E+23",neutral,@pandai_besi_ @RandomWorldWar Tipikal narsistik patologis hidup dan matinya dikendalikan dirinya sendiri. Dihukum 20 tahun penjara diumur lansia sama dengan dihukum mati meninggal di penjara. Jadi ingat kasus J. Epstein yang malahan meninggal/ bunuh diri (???) sebelum vonis.,,pandai_besi_,in,"Palangka Raya, Indonesia",0,0,0,https://x.com/nikorusmedi/status/1796769843557060998,"1,52E+23",nikorusmedi
"1,79E+23",Sat Jun 01 05:01:37 +0000 2024,0,"1,80E+23",negative,@wdhiskers ⠀ Sejak bapak menikah lagi dan makin abusif hasrat Kamalini bunuh diri meningkat tiga kali lipat. Dia tak selalu lari kadang-kadang cuma sembunyi di halaman belakang dan menanti stik golf terayun menghantam pinggulnya. ⠀,,wdhiskers,in,／⠀⠀𝗥-𝟮𝟭⠀𝗦-𝗜𝗖⠀𝗗𝗗𝗗𝗡𝗘,0,1,0,https://x.com/LirPadma/status/1796769046639329448,"1,59E+23",LirPadma
"1,80E+23",Sat Jun 01 04:50:40 +0000 2024,0,"1,80E+23",neutral,@M0ANIING Posisi kursi kalo emang doi menggantung diri secara lazim tu kursi bakal kepental lebih jauh bukan cuma kebalik gitu aja. Posisi tubuh yg menggantung terlalu rapi. Kalo emang bunuh diri tubuh doi harusnya kaku. Itu terlalu comfort buat posisi gantung diri +,,M0ANIING,in,,0,1,0,https://x.com/luvesern/status/1796766287986909379,"8,58E+22",luvesern
"1,80E+23",Sat Jun 01 04:50:22 +0000 2024,0,"1,80E+23",negative,@M0ANIING Oke berarti gaada i ll drop mine. gua mendukung murder juga nambahin aja. Ada 2 gelas ada aktivitas yg melibatkan org lain. Ada buku dan catatan yang dmn kalo org coba utk bunuh diri doi bakal mengabaikan aktivitas sehari hari,,M0ANIING,in,,0,1,0,https://x.com/luvesern/status/1796766214536196283,"8,58E+22",luvesern
"1,80E+23",Sat Jun 01 03:28:09 +0000 2024,0,"1,80E+23",positive,@cutissh @tanyakanrl Maaf ya nder ini terjadi ke kamu Semoga saudara seiman ku gak denial dan mau sama-sama memperbaiki diri supaya nanti kamu bisa ibadah tanpa harus takut di bunuh di bom dll,,cutissh,in,,0,2,0,https://x.com/nicholaseomma/status/1796745523325719040,"1,42E+23",nicholaseomma
"1,80E+23",Sat Jun 01 03:22:15 +0000 2024,1,"1,80E+23",neutral,@KompasTV Oh Asabri bikin jengkel ya pak? Sekelas ABRI/TNI bisa bikin jengkel Kalau rakyat jelata begini disinyalir bisa bikin putus asa dan bunuh diri.,,KompasTV,in,Cibubur,0,0,0,https://x.com/Sulistiyono_312/status/1796744037275521073,2434628538,Sulistiyono_312
"1,80E+23",Sat Jun 01 03:19:47 +0000 2024,0,"1,80E+23",neutral,Aku ingin tubuhku meleleh menjadi cair seperti embun seandainya Tuhan tidak melarang bunuh diri. Hamlet,,pileaoh,in,elsinore,0,1,0,https://x.com/pileaoh/status/1796743419483844904,"1,71E+23",pileaoh
"1,80E+23",Sat Jun 01 03:18:17 +0000 2024,0,"1,80E+23",positive,@AmaraHansss @hiourly @tanyakanrl Kr disebabkan 9/11 adanya bom bunuh diri dll. Maka dr itu mari berbuat baik untuk menghapus stigma ini jangan hanya slogan peaceful tapi permisif ngeliat saudara di diskriminasi,,AmaraHansss,in,,0,0,0,https://x.com/nicholaseomma/status/1796743039022735740,"1,42E+23",nicholaseomma
"1,80E+22",Sat Jun 01 03:14:52 +0000 2024,0,"1,80E+23",positive,@tanyakanrl Suicid karena yang buat teka-teki seolah-olah sengaja mengarahkan kalau ini murder jadi jawabannya justru sebaliknya. Sesimpel itu awokwokw ga ada teori2 gimana dia bunuh diri karena saya malas,,tanyakanrl,in,,0,0,0,https://x.com/arum_waras/status/1796742182906548267,"9,09E+22",arum_waras
"1,80E+23",Sat Jun 01 03:09:04 +0000 2024,0,"1,80E+23",negative,@dailydozeofmee Murid nya kayak nya bakal bunuh diri semua,,dailydozeofmee,in,,0,1,0,https://x.com/johnjenenge/status/1796740720935727596,"1,40E+23",johnjenenge
"1,76E+23",Sat Jun 01 03:04:19 +0000 2024,0,"1,80E+23",negative,@PhelleAlt bunuh diri goblok,,PhelleAlt,in,,0,0,0,https://x.com/glojay10/status/1796739528058880502,"1,20E+23",glojay10
"1,80E+23",Sat Jun 01 03:03:30 +0000 2024,0,"1,80E+23",positive,aku nggabisa hidup lagi setelah ini nyatanya masih hidup sampe sekarang. ketar-ketir aku dulu kalo beneran bunuh diri aku sedih puol. sedih karna perkara cinta dia selesaiin hidup. padahal hidup itu enak bgt,,,in,"Yogyakarta, Indonesia",0,0,0,https://x.com/orenjibutblue/status/1796739321460052242,"1,21E+21",orenjibutblue
"1,80E+23",Sat Jun 01 02:58:46 +0000 2024,0,"1,80E+23",negative,gimana caranya bunuh diri tapi ngga sakit?,,,in,,0,0,0,https://x.com/dearthvjjk/status/1796738127564050561,"1,22E+23",dearthvjjk
"1,78E+23",Sat Jun 01 02:57:12 +0000 2024,0,"1,80E+23",negative,@gh05tfuck bunuh diri goblok,,gh05tfuck,in,,0,0,0,https://x.com/glojay10/status/1796737736139038774,"1,20E+23",glojay10
"1,80E+23",Sat Jun 01 02:56:41 +0000 2024,0,"1,80E+23",negative,@m3kamechanic @loveed0vey bunuh diri goblok,,m3kamechanic,in,,0,0,0,https://x.com/glojay10/status/1796737606774055353,"1,20E+23",glojay10
"1,80E+23",Sat Jun 01 02:55:49 +0000 2024,0,"1,80E+23",negative,@XUserBlancox @ElectraMurphyCa @queenie4rmnola bunuh diri goblok,,XUserBlancox,in,,0,0,0,https://x.com/glojay10/status/1796737385499398553,"1,20E+23",glojay10
"1,80E+22",Sat Jun 01 02:55:10 +0000 2024,0,"1,80E+23",neutral,@tanyakanrl pembunuhan itu orang nya aja pincang kakinya masa bisa naik buat bunuh diri,,tanyakanrl,in,,0,0,0,https://x.com/kanaaleaa/status/1796737223934816546,"1,47E+23",kanaaleaa
"1,80E+23",Sat Jun 01 02:54:48 +0000 2024,0,"1,80E+23",negative,@ibeonherelying bunuh diri goblok,,ibeonherelying,in,,0,0,0,https://x.com/glojay10/status/1796737132771651596,"1,20E+23",glojay10
"1,80E+22",Sat Jun 01 02:50:22 +0000 2024,0,"1,80E+23",neutral,@tanyakanrl Kruk karena posisinya jauh kemungkinan besar tidak digunakan oleh korban. Posisi jatuhnya kursi sesuai dengan posisi tergantungnya korban. Ini bunuh diri.,,tanyakanrl,in,Bottom Hell,0,0,0,https://x.com/BekasBuaya/status/1796736015438393424,"1,44E+22",BekasBuaya
"1,80E+23",Sat Jun 01 02:50:14 +0000 2024,0,"1,80E+23",neutral,@shunsher Oh begitu. Jadi harusnya kursinya jatoh kedepan ya? Kalo memang bunuh diri.,,shunsher,in,"Tangerang, Indonesia",0,1,0,https://x.com/iampiopio/status/1796735983591010408,"1,11E+23",iampiopio
"1,80E+22",Sat Jun 01 02:49:46 +0000 2024,0,"1,80E+23",positive,@tanyakanrl murder. soalnya ada tongkat yang mana dia punya masalah sama kakinya. dan tongkat itu jauh dari posisi dia gantung diri. artinya dia dibunuh dulu lalu dibuat seakan-akan dia bunuh diri.,,tanyakanrl,in,,0,0,0,https://x.com/onbus156/status/1796735864695091461,"1,47E+23",onbus156
